"Name","agentforce1__External_Id__c","agentforce1__Ignore_Triggers__c","agentforce1__Hierarchy_Changed__c","agentforce1__Schema_Changed__c","agentforce1__Instruction__c","agentforce1__Purpose_Description__c","agentforce1__Schema_Instruction__r.agentforce1__External_Id__c"
"Process Analyser (Forward & Backwards Lookups)","406bf323-fbcf-4f1f-8438-1a98de7d0b37","false","false","false","","Extracting a business process from a flowchart into a data structure containing a process object and a process step object that are linked together.","6a5e4ab9-858b-4e59-be16-c2c7b3a9b654"
"Advanced Test Data Generator (Nested Records)","09f052f2-8399-4a33-9eed-4f14e279e790","false","false","false","","Extracting Account / Contact / Task information from the input data in order to create the Salesforce sObject records.","6a5e4ab9-858b-4e59-be16-c2c7b3a9b654"
"Agentforce Record Builder - Apex Test Class Example","28ac5d7e-6877-4f7b-80f3-43017110a9e8","false","false","false","","This is an implementation to test the Agentforce Record Builder data structure as an actual mapping. This creates a perfect test case that is org agnostic. It's a bit complex to comprehend when all put together because it tests itself on itself.","6a5e4ab9-858b-4e59-be16-c2c7b3a9b654"
"Basic Test Data Generator (Acc / Con / Cse / Opp / Tsk)","50e7954c-3a4c-4874-9879-f449ea922439","false","false","false","","This mapping is used to create some basic (themed or professional looking) test data based on the generated schema mapping.","6a5e4ab9-858b-4e59-be16-c2c7b3a9b654"
"Action Call Transcripts for Cases / Tasks / Opps","8ecec2da-c22e-4d20-9602-1f15d42b6e9c","false","false","false","","Analyse call transcript to extract potential opportunities, cases based on complaints, request or compliments as well as creating follow up tasks.","6a5e4ab9-858b-4e59-be16-c2c7b3a9b654"
"Analyse and score Incoming Emails for Spam","2ca7b407-82da-4a6c-8f20-0827b872a4fb","false","false","false","","Analyse incoming emails related to a case to see if they are actually spam emails. We give them a likely Score and reason on what to check for as well as a status.","6a5e4ab9-858b-4e59-be16-c2c7b3a9b654"
"Shopping List Allergy Analysis (Receipt Analysis)","5ee26446-f8ec-4bdc-a6dd-a1119f987414","false","false","false","","Analyse a shopping list and extract allergy information, price information and other receipt information.","6a5e4ab9-858b-4e59-be16-c2c7b3a9b654"
"Analyse Storm Damage to Electrical Equipment","bd2dfad5-9758-4dfb-8921-562a2b054d4c","false","false","false","","Analyse customer uploaded photos of electricity infrastructure damage caused by storms or accidents to create work orders.","6a5e4ab9-858b-4e59-be16-c2c7b3a9b654"
