"Name","agentforce1__External_Id__c","agentforce1__Ignore_Triggers__c","agentforce1__Order__c","agentforce1__Hierarchy_Changed__c","agentforce1__Schema_Changed__c","agentforce1__Instruction__c","agentforce1__Purpose_Description__c","agentforce1__Latest_Version__r.agentforce1__External_Id__c","agentforce1__Schema_Instruction__r.agentforce1__External_Id__c"
"Basic Test Data Generator (Acc / Con / Cse / Opp / Tsk)","50e7954c-3a4c-4874-9879-f449ea922439","false","1.0","false","false","","This mapping is used to create some basic (themed or professional looking) test data based on the generated schema mapping.","5c386a3a-cb04-44d5-848b-d43d7ea53fb1","506be2ee-3a93-48a8-8e98-23a3e787ede1"
"Advanced Test Data Generator (Nested Records)","09f052f2-8399-4a33-9eed-4f14e279e790","false","2.0","false","false","","Extracting Account / Contact / Task information from the input data in order to create the Salesforce sObject records.","ced0f352-d880-4188-a156-089e9e7d51f5","506be2ee-3a93-48a8-8e98-23a3e787ede1"
"Process Analyser (Forward & Backwards Lookups)","406bf323-fbcf-4f1f-8438-1a98de7d0b37","false","3.0","false","false","","Extracting a business process from a flowchart into a data structure containing a process object and a process step object that are linked together.","86691cb3-24cc-49e4-b96a-951a6371c561","506be2ee-3a93-48a8-8e98-23a3e787ede1"
"Shopping List Allergy Analysis (Receipt Analysis)","5ee26446-f8ec-4bdc-a6dd-a1119f987414","false","4.0","false","false","","Analyse a shopping list and extract allergy information, price information and other receipt information.","ed48e908-d821-4105-8211-fc02826b4405","506be2ee-3a93-48a8-8e98-23a3e787ede1"
"Analyse and score Incoming Emails for Spam","2ca7b407-82da-4a6c-8f20-0827b872a4fb","false","5.0","false","false","","Analyse incoming emails related to a case to see if they are actually spam emails. We give them a likely Score and reason on what to check for as well as a status.","f912452b-4da8-425c-ab5a-6dbb584e4b57","506be2ee-3a93-48a8-8e98-23a3e787ede1"
"Action Call Transcripts for Cases / Tasks / Opps","8ecec2da-c22e-4d20-9602-1f15d42b6e9c","false","6.0","false","false","","Analyse call transcript to extract potential opportunities, cases based on complaints, request or compliments as well as creating follow up tasks.","c0eca05b-df12-449d-9693-23223b1c7be6","506be2ee-3a93-48a8-8e98-23a3e787ede1"
"Analyse Storm Damage to Electrical Equipment","bd2dfad5-9758-4dfb-8921-562a2b054d4c","false","7.0","false","false","","Analyse customer uploaded photos of electricity infrastructure damage caused by storms or accidents to create work orders.","881f9c34-8550-4ecb-bce7-7ba25e246621","506be2ee-3a93-48a8-8e98-23a3e787ede1"
